 ### First line has dlss for this model and kcutflag
 ### Then normal l ClT ClE ClC output
     15098.439203477  -1
    2  0.68715E+00  0.28453E-10 -0.11072E-05
    3  0.22204E+01  0.30853E-09 -0.78439E-05
    4  0.41538E+01  0.15302E-08 -0.21793E-04
    5  0.65018E+01  0.54618E-08 -0.49432E-04
    6  0.93481E+01  0.15192E-07 -0.97872E-04
    7  0.12576E+02  0.36875E-07 -0.17904E-03
    8  0.16289E+02  0.78592E-07 -0.29178E-03
    9  0.20507E+02  0.15515E-06 -0.46736E-03
   10  0.25160E+02  0.28522E-06 -0.68581E-03
   11  0.30242E+02  0.48517E-06 -0.98916E-03
   12  0.35807E+02  0.82424E-06 -0.13913E-02
   13  0.41903E+02  0.13680E-05 -0.18969E-02
   14  0.48494E+02  0.21102E-05 -0.25269E-02
   15  0.55524E+02  0.30266E-05 -0.33061E-02
   16  0.62951E+02  0.41507E-05 -0.42580E-02
   17  0.70783E+02  0.57486E-05 -0.54013E-02
   18  0.79043E+02  0.81442E-05 -0.67534E-02
   19  0.87753E+02  0.11661E-04 -0.83316E-02
   20  0.96936E+02  0.16624E-04 -0.10153E-01
   21  0.10661E+03  0.23330E-04 -0.12240E-01
   22  0.11677E+03  0.31968E-04 -0.14630E-01
   23  0.12743E+03  0.42704E-04 -0.17365E-01
   24  0.13856E+03  0.55700E-04 -0.20487E-01
   25  0.15018E+03  0.71121E-04 -0.24038E-01
   26  0.16228E+03  0.89130E-04 -0.28060E-01
   27  0.17485E+03  0.10989E-03 -0.32595E-01
   28  0.18790E+03  0.13357E-03 -0.37685E-01
   29  0.20141E+03  0.16032E-03 -0.43373E-01
   30  0.21539E+03  0.19032E-03 -0.49700E-01
   31  0.22983E+03  0.22416E-03 -0.56706E-01
   32  0.24473E+03  0.26415E-03 -0.64426E-01
   33  0.26009E+03  0.31304E-03 -0.72890E-01
   34  0.27591E+03  0.37358E-03 -0.82130E-01
   35  0.29219E+03  0.44852E-03 -0.92178E-01
   36  0.30892E+03  0.54060E-03 -0.10307E+00
   37  0.32610E+03  0.65257E-03 -0.11483E+00
   38  0.34374E+03  0.78717E-03 -0.12749E+00
   39  0.36183E+03  0.94717E-03 -0.14108E+00
   40  0.38037E+03  0.11353E-02 -0.15565E+00
   41  0.39935E+03  0.13542E-02 -0.17123E+00
   42  0.41878E+03  0.16064E-02 -0.18798E+00
   43  0.43865E+03  0.18940E-02 -0.20605E+00
   44  0.45896E+03  0.22195E-02 -0.22561E+00
   45  0.47970E+03  0.25852E-02 -0.24683E+00
   46  0.50087E+03  0.29933E-02 -0.26986E+00
   47  0.52247E+03  0.34463E-02 -0.29488E+00
   48  0.54449E+03  0.39464E-02 -0.32205E+00
   49  0.56693E+03  0.44959E-02 -0.35152E+00
   50  0.58979E+03  0.50972E-02 -0.38347E+00
   51  0.61306E+03  0.57534E-02 -0.41806E+00
   52  0.63675E+03  0.64702E-02 -0.45544E+00
   53  0.66086E+03  0.72542E-02 -0.49578E+00
   54  0.68538E+03  0.81120E-02 -0.53923E+00
   55  0.71032E+03  0.90501E-02 -0.58594E+00
   56  0.73568E+03  0.10075E-01 -0.63608E+00
   57  0.76146E+03  0.11194E-01 -0.68980E+00
